Autauga County,Alabama,"43,671","54,571","10,900",25,
Autauga County,Alabama,"43,671","54,571","10,900",25,
Barbour County,Alabama,"29,038","27,457","-1,581",-5.4,
Bibb County,Alabama,"20,826","22,915","2,089",10,
Blount County,Alabama,"51,024","57,322","6,298",12.3,
Bullock County,Alabama,"11,714","10,914",-800,-6.8,
Butler County,Alabama,"21,399","20,947",-452,-2.1,
Calhoun County,Alabama,"112,249","118,572","6,323",5.6, 
Chambers County,Alabama,"36,583","34,215","-2,368",-6.5,
Cherokee County,Alabama,"23,988","25,989","2,001",8.3,
Chilton County,Alabama,"39,593","43,643","4,050",10.2,
Choctaw County,Alabama,"15,922","13,859","-2,063",-13,
Clarke County,Alabama,"27,867","25,833","-2,034",-7.3,
Clay County,Alabama,"14,254","13,932",-322,-2.3,
Cleburne County,Alabama,"14,123","14,972",849,6,
Coffee County,Alabama,"43,615","49,948","6,333",14.5,
Colbert County,Alabama,"54,984","54,428",-556,-1,
Conecuh County,Alabama,"14,089","13,228",-861,-6.1,
Coosa County,Alabama,"12,202","11,539",-663,-5.4,
Covington County,Alabama,"37,631","37,765",134,0.4,
Crenshaw County,Alabama,"13,665","13,906",241,1.8,
Cullman County,Alabama,"77,483","80,406","2,923",3.8,
Dale County,Alabama,"49,129","50,251","1,122",2.3,
Dallas County,Alabama,"46,365","43,820","-2,545",-5.5,
DeKalb County,Alabama,"64,452","71,109","6,657",10.3,
Elmore County,Alabama,"65,874","79,303","13,429",20.4,
Escambia County,Alabama,"38,440","38,319",-121,-0.3,
Etowah County,Alabama,"103,459","104,430",971,0.9,
Fayette County,Alabama,"18,495","17,241","-1,254",-6.8,
Franklin County,Alabama,"31,223","31,704",481,1.5,
Geneva County,Alabama,"25,764","26,790","1,026",4,
Greene County,Alabama,"9,974","9,045",-929,-9.3,
Hale County,Alabama,"17,185","15,760","-1,425",-8.3,
Henry County,Alabama,"16,310","17,302",992,6.1,
Houston County,Alabama,"88,787","101,547","12,760",14.4,
Jackson County,Alabama,"53,926","53,227",-699,-1.3,
Jefferson County,Alabama,"662,047","658,466","-3,581",-0.5,
Lamar County,Alabama,"15,904","14,564","-1,340",-8.4,
Lauderdale County,Alabama,"87,966","92,709","4,743",5.4,
Lawrence County,Alabama,"34,803","34,339",-464,-1.3,
Lee County,Alabama,"115,092","140,247","25,155",21.9,
Limestone County,Alabama,"65,676","82,782","17,106",26,
Lowndes County,Alabama,"13,473","11,299","-2,174",-16.1,
Macon County,Alabama,"24,105","21,452","-2,653",-11,
Madison County,Alabama,"276,700","334,811","58,111",21,
Marengo County,Alabama,"22,539","21,027","-1,512",-6.7,
Marion County,Alabama,"31,214","30,776",-438,-1.4,
Marshall County,Alabama,"82,231","93,019","10,788",13.1,
Mobile County,Alabama,"399,843","412,992","13,149",3.3,
Monroe County,Alabama,"24,324","23,068","-1,256",-5.2,
Montgomery County,Alabama,"223,510","229,363","5,853",2.6,
Morgan County,Alabama,"111,064","119,490","8,426",7.6,
Perry County,Alabama,"11,861","10,591","-1,270",-10.7,
Pickens County,Alabama,"20,949","19,746","-1,203",-5.7,
Pike County,Alabama,"29,605","32,899","3,294",11.1,
Randolph County,Alabama,"22,380","22,913",533,2.4,
Russell County,Alabama,"49,756","52,947","3,191",6.4,
St. Clair County,Alabama,"64,742","83,593","18,851",29.1,
Shelby County,Alabama,"143,293","195,085","51,792",36.1,
Sumter County,Alabama,"14,798","13,763","-1,035",-7,
Talladega County,Alabama,"80,321","82,291","1,970",2.5,
Tallapoosa County,Alabama,"41,475","41,616",141,0.3,
Tuscaloosa County,Alabama,"164,875","194,656","29,781",18.1,
Walker County,Alabama,"70,713","67,023","-3,690",-5.2,
Washington County,Alabama,"18,097","17,581",-516,-2.9,
Wilcox County,Alabama,"13,183","11,670","-1,513",-11.5,
Winston County,Alabama,"24,843","24,484",-359,-1.4,
Aleutians East Borough,Alaska,"2,697","3,141",444,16.5,
